iter	Passed	Remaining
399	65749	16437
400	65888	16266
401	66056	16103
402	66216	15937
403	66371	15771
404	66522	15604
405	66681	15438
406	66849	15275
407	66993	15106
408	67169	14944
409	67337	14781
410	67520	14621
411	67677	14455
412	67846	14292
413	68011	14127
414	68190	13966
415	68372	13805
416	68537	13641
417	68709	13478
418	68879	13315
419	69036	13149
420	69211	12987
421	69396	12826
422	69591	12667
423	69759	12504
424	69904	12336
425	70059	12169
426	70240	12008
427	70406	11844
428	70561	11677
429	70737	11515
430	70887	11348
431	71042	11182
432	71208	11018
433	71385	10855
434	71540	10689
435	71694	10523
436	71863	10360
437	72023	10195
438	72184	10030
439	72347	9865
440	72530	9703
441	72689	9538
442	72854	9374
443	73019	9209
444	73171	9043
445	73328	8878
446	73488	8713
447	73654	8549
448	73813	8384
449	73956	8217
450	74125	8053
451	74288	7889
452	74460	7725
453	74620	7560
454	74785	7396
455	74952	7232
456	75115	7067
457	75292	6904
458	75454	6739
459	75638	6577
460	75808	6413
461	75975	6249
462	76136	6084
463	76312	5920
464	76488	5757
465	76641	5591
466	76803	5427
467	76967	5262
468	77130	5098
469	77302	4934
470	77482	4770
471	77645	4606
472	77805	4441
473	77977	4277
474	78154	4113
475	78320	3948
476	78491	3784
477	78676	3621
478	78851	3456
479	79010	3292
480	79174	3127
481	79335	2962
482	79520	2798
483	79687	2634
484	79849	2469
485	80003	2304
486	80163	2139
487	80341	1975
488	80509	1811
489	80666	1646
490	80843	1481
491	80999	1317
492	81162	1152
493	81344	987
494	81513	823
495	81680	658
496	81852	494
497	82016	329
498	82179	164
499	82342	0
