Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2020-02-12,51921.328125,52092.96887913223,51234.765108471074,51749.68737086777,12904207
2020-02-13,52092.96484375,52865.34817751236,51921.32410291392,52522.0666958402,18449775
2020-02-14,53037.00390625,53122.82430092031,51663.87759152508,52264.62035421723,13276067
2020-02-17,52779.52734375,53208.62919207317,52522.066234756094,52865.34771341463,8740596
2020-02-18,51320.58203125,52264.60611543687,51234.761659960284,52178.78574414716,16674266
2020-02-19,51663.859375,51835.500103820596,50977.2964597176,51320.5779173588,12951496
2020-02-20,51492.21875,52607.883489583335,51148.93729166666,52092.961302083335,14591924
2020-02-21,50805.671875,51320.59422508446,50204.9291332348,50462.39030827703,13777393
2020-02-24,48745.97265625,49861.63752338249,48745.97265625,49260.89490261884,25627537
2020-02-25,49689.99609375,49775.816466968914,48231.0497490285,48231.0497490285,23885408
2020-02-26,48488.515625,48917.61753318584,48059.41371681416,48059.41371681416,25483102
2020-02-27,47973.59375,48831.797573792486,47630.31222048301,48316.87527951699,23209541
2020-02-28,46514.64453125,47630.309436981086,46514.64453125,47201.20755016144,30054227
2020-03-02,47201.203125,47630.304971590915,45999.71795454546,46600.46053977273,30403412
2020-03-03,47544.49609375,48831.80194466381,47287.03492356724,48660.16116454197,30330295
2020-03-04,49260.890625,49432.53135888502,46857.920350609755,47029.56108449477,24765728
2020-03-05,49604.17578125,49775.81652789793,48660.15167468642,49432.53503460208,21698990
2020-03-06,48488.515625,49089.258296460175,48231.054480088496,48488.515625,18716656
2020-03-09,48488.515625,48488.515625,48488.515625,48488.515625,0
2020-03-10,46857.92578125,47115.386911916205,46085.54238925137,46171.36276614011,32106554
2020-03-11,44712.41796875,46686.28670825336,44626.5975887716,46600.46632827495,45707281
2020-03-12,44712.41796875,44712.41796875,44712.41796875,44712.41796875,0
2020-03-13,42867.2734375,44283.309496997,40206.84205299049,40721.764256443945,59462933
2020-03-16,41966.1640625,43682.57159061861,41880.343686094064,42996.00857937116,33339821
2020-03-17,40593.02734375,42609.80565786866,40078.1052209963,40249.745928580865,51218151
2020-03-18,39134.09765625,41494.15837016858,39134.09765625,40979.23603258635,40152623
2020-03-19,36859.84375,40035.196995052385,36302.01142316648,39820.64610011641,56925513
2020-03-20,38962.453125,39048.273506332596,37374.77607034692,37889.69835834251,49730008
2020-03-23,36473.66015625,37374.77411305147,36387.83977941176,36559.48053308824,41701626
2020-03-24,40292.66015625,40292.66015625,36945.666021865014,37632.22892122604,49801908
2020-03-25,41751.625,42566.91880781089,40464.31898766701,42009.0862024666,52735922
2020-03-26,41022.1484375,42309.454350810665,40936.32804327929,42051.99316814853,42185129
2020-03-27,41451.23828125,42652.723448822464,40206.842929121376,42566.903079710144,39896178
2020-03-30,41368.2421875,41800.51222080721,40244.34010090125,40676.610134208466,26797395
2020-03-31,41281.80078125,41930.20602912304,40763.07658295157,41497.93586387434,30654261
2020-04-01,39595.94140625,41411.47583754094,39595.94140625,41022.432745121456,27259532
2020-04-02,40460.484375,40503.711388221156,39206.90099158654,39941.760216346156,21621076
2020-04-03,40633.38671875,41152.110804521275,40244.343654421544,40979.202775930855,22784682
2020-04-06,42103.09765625,42189.55165554415,40849.51466648486,41065.64966472022,23395726
2020-04-07,42881.18359375,43399.90758883569,42362.45959866432,42924.41059334047,31524034
2020-04-08,42016.65625,43010.877539866255,42016.65625,42881.19650205762,25010314
2020-04-09,42448.9296875,43054.10791115071,42103.11355969959,43010.88089517566,22628058
2020-04-10,42578.609375,42578.609375,42059.8851998731,42319.24728743655,17839111
2020-04-13,41757.2890625,42276.01315023292,41757.2890625,42059.878113677536,14431800
2020-04-14,42362.47265625,42535.38070790817,41757.29447544643,42189.56460459184,14206216
2020-04-16,42362.47265625,42665.06174665179,41973.42954001913,42665.06174665179,23349760
2020-04-17,44437.359375,44956.08341439688,43486.36530277237,43918.63533560311,32041675
2020-04-20,43313.4609375,44437.36311751497,43227.0069236527,44437.36311751497,21866354
2020-04-21,42578.609375,42967.65250634518,42103.11221446701,42708.290418781726,27407543
2020-04-22,43097.3203125,43227.00131644935,41800.51027300652,42103.099282221665,18613864
2020-04-23,43097.3203125,43486.36332434804,42794.731303284854,43399.909321715146,18754442
2020-04-24,42665.05078125,43010.86679568769,42362.461768617024,42924.41279207827,15618347
2020-04-27,43097.3203125,43227.00131644935,42448.91529275326,42665.050299335504,14049471
2020-04-28,43313.4609375,43313.4609375,42621.828826721554,43097.325902881734,16095399
2020-04-29,43227.0078125,43659.277890625,42881.19175,43140.553796875,15604533
2020-05-04,41930.19921875,42448.923332796396,41930.19921875,42276.01529478093,26083749
2020-05-06,42535.375,42535.375,41930.1969004065,42362.466971544716,18070225
2020-05-07,42189.55859375,42621.828661308915,42103.10458023822,42535.374647797136,13884411
2020-05-08,42189.55859375,42665.05566806481,42189.55859375,42448.92063428535,15319700
2020-05-11,41843.7421875,42578.60129616477,41757.288174715904,42276.012251420456,16357743
2020-05-12,41411.46484375,41930.188829266706,41108.875852198595,41843.73483168059,23433590
2020-05-13,41973.42578125,41973.42578125,40806.29653707518,40849.52354611869,20223277
2020-05-14,41497.921875,41584.37587890625,41195.33286132813,41281.786865234375,19305974
2020-05-15,41368.2421875,41886.96622746865,41238.561177507836,41843.739224137935,18463118
2020-05-18,42189.55859375,42448.92063428535,41152.110431608606,41454.69947889985,20481981
2020-05-19,43486.3671875,43659.275208126244,42967.643125621275,43313.45916687376,25168295
2020-05-20,43227.0078125,43399.91584375,43054.09978125,43227.0078125,14896899
2020-05-21,43183.77734375,43572.820382882885,43097.3233350538,43486.366374186684,14949266
2020-05-22,42146.34375,43054.111153846156,42016.66269230769,42881.20307692308,19706284
2020-05-25,42232.79296875,42276.0199830476,41886.97685436924,42146.33894015481,14337913
2020-05-26,42578.609375,42751.51743337564,42016.658185279186,42103.11221446701,15127490
2020-05-27,43140.55859375,43227.012618987974,42189.564316132266,42319.24535398923,19548479
